,DATE,CONDITION,RELATIVE_TOTAL,BOUND,FREE,RELATIVE_TOTAL_FC,BOUND_FC,BOUND_FRACTION,FREE_FRACTION
0,250113,mACmChPOLR2A VEH,49.638949275443714,25.289301391228992,24.349647884214722,0.49638949275443717,0.2528930139122899,0.5094648811138224,0.4905351188861776
1,250113,mACmChPOLR2A 5PH 24HR,87.22496446709064,56.0156058995535,31.209358567537144,0.8722496446709065,0.560156058995535,0.642196947190363,0.357803052809637
2,250113,mChPOLR2A VEH,100.0,52.33617731207521,47.66382268792479,1.0,0.523361773120752,0.523361773120752,0.47663822687924795
3,250113,mACmChPOLR2A 5PH 90MIN,58.94283615472706,40.85115268775703,18.091683466970036,0.5894283615472706,0.4085115268775703,0.693063913323093,0.30693608667690697
4,250123,mACmChPOLR2A VEH,56.86389948910248,29.98821972195578,26.8756797671467,0.5686389948910248,0.2998821972195578,0.5273683301952021,0.47263166980479787
5,250123,mACmChPOLR2A 5PH 24HR,86.41060114262987,53.29559342658943,33.115007716040445,0.8641060114262987,0.5329559342658943,0.6167714692624275,0.38322853073757246
6,250123,mChPOLR2A VEH,100.0,60.62462185398763,39.37537814601237,1.0,0.6062462185398763,0.6062462185398763,0.39375378146012374
7,250123,mACmChPOLR2A 5PH 90MIN,63.433138864968456,45.964890443212965,17.46824842175549,0.6343313886496845,0.45964890443212963,0.7246195169540555,0.27538048304594454
8,250124,mACmChPOLR2A VEH,56.459084838590634,34.52178574636941,21.937299092221224,0.5645908483859063,0.3452178574636941,0.6114478448430898,0.3885521551569102
9,250124,mACmChPOLR2A 5PH 24HR,78.52099945109225,50.32709235829107,28.19390709280119,0.7852099945109225,0.5032709235829107,0.6409380001541868,0.3590619998458132
10,250124,mChPOLR2A VEH,100.0,49.40247740904229,50.59752259095771,1.0,0.4940247740904229,0.4940247740904229,0.5059752259095771
11,250124,mACmChPOLR2A 5PH 90MIN,59.12164674780548,40.536758561319374,18.584888186486104,0.5912164674780548,0.40536758561319375,0.6856500248417733,0.3143499751582267
